,poet_name,poem_name,poem_content
0,محيي الدين بن عربي,ما رحلوا بانوا البزل العيسا,"
ما رَحَّلوا بانوا البُزَّلَ العيسا
إِلّا وَقَد حَمَلوا فيها الطَواويسا
مِن كُلِّ فاتِكَةِ الأَلحاظِ مالِكَةٍ
تَخالُها فَوقَ عَرشِ الدُرِّ بِلقيسا
إِذا تَمَشَّت عَلى صَرحِ الزُجاجِ تَرى
شَمساً عَلى فَلَكٍ في حِجرِ إِدريسا
تُحيي إِذا قُتِلَت بِاللَحظِ مَنطِقَها
كَأَنَّها عِندَما تُحيي بِهِ عيسى
تَوراتُها لَوحُ ساقَيها سَناً وَأَنا
أَتلو وَأَدرُسُها كَأَنَّني موسى
أُسقُفَّةٌ مِن بَناتِ الرومِ عاطِلَةٌ
تَرى عَلَيها مِنَ الأَنوارِ ناموسا
وَحشِيَّةٌ ما بِها أُنسٌ قَد اِتَّخَذَت
في بَيتِ خَلوتِها لِلذِّكرِ ناووسا
قَد أَعجَزَت كُلَّ عَلّامٍ بِمِلَّتِنا
وَداوُدِيّاً وَحِبراً ثُمَّ قِسّيسا
إِن أَومَأَت تَطلُبُ الإِنجيلَ تَحسَبُها
أَقِسَّةً أَو بَطاريقاً شَماميسا
نادَيتُ إِذ رَحَّلَت لِلبَنينَ ناقَتَها
يا حادِيَ العيسِ لا تَحدو بِها العيسا
عَبَّيتُ أَجيادَ صَبري يَومَ بَينِهِمُ
عَلى الطَريقِ كَراديساً كَراديسا
سَأَلتُ إِذ بَلَغَت نَفسي تَراقِيَها
ذاكَ الجَمالَ وَذاكَ اللُطفَ تَنفيسا
فَأَسلَمَت وَوَقانا اللَهُ شِرَّتَها
وَزَحزَحَ المَلِكُ المَنصورُ إِبليسا
"
1,محيي الدين بن عربي,خليلي عوجا بالكثيب وعرجا,"
خَليلَيَّ عوجا بِالكَثيبِ وَعَرِّجا
عَلى لَعلَعٍ وَاِطلَبَ مِياهَ يَلَملَمِ
فَإِنَّ مَن قَد عَلِمتَ وَمَن لَهُم
صِيامي وَحُجَّتي وَاِعتِماري وَمَوسِمي
فَلا أَنسَ يَوماً بِالمَحَصَّبِ مِن مُنىً
وَبِالمَنحَرِ الأَعلى أُموراً وَزَمزَمِ
مُحَصَّبُهُم قَلبي لِرَميِ جِمارِهِم
وَمَنحَرُهُم نَفسي وَمَشرَبِهِم دَمي
فَيا حادِيَ الأَجمالِ إِن جِئتَ حاجِراً
فَقِف بِالمَطايا ساعَةً ثُمَّ سَلِّمِ
وَنادِ القِبابَ الحُمرَ مِن جانِبِ الحَمي
تَحِيَّةَ مُشتاقٍ إِلَيكُم مُتَيَّمِ
فَإِن سَلَّموا فَاِهدِ السَلامَ مَعَ الصَبا
وَإِن سَكَتوا فَاِرحَل بِها وَتَقَدَّم
إِلى نَهرِ عيسى حَيثُ حَلَّت رِكابُهُم
وَحَيثُ الخِيامِ البيضِ مِن جانِبِ الفَمِ
وَنادِ بِدَعدٍ وَالرَبابِ وَزَينَبٍ
وَهِندٍ وَسَلمى ثُمَّ لُبنى وَزَمزَمِ
وَسَلهُنَّ هَل بِالحَلبَةِ الغادَةُ الَّتي
تُريكَ سَنا البَيضاءِ عِندَ التَبَسُّمِ
"
2,محيي الدين بن عربي,سلام على سلمى ومن حل بالحمى,"
سَلامٌ عَلى سَلمى وَمَن حَلَّ بِالحِمى
وَحُقَّ لِمِثلي رِقَّةً أَن يُسَلِّما
وَماذا عَلَيها أَن تَرُدُّ تَحِيَّةً
عَلَينا وَلكِن لا اِحتِكامَ عَلى الدُمى
سَروا وَظَلامُ اللَيلِ أَرخى سُدولَهُ
فَقُلتُ لَها صَبّاً غَريباً مُتَيَّما
أَحاطَت بِهِ الأَشواقُ صَوتاً وَأُرصِدَت
لَهُ راشِقاتُ النَبلِ أَيّانُ يَمَّما
فَأَبدَت ثَناياها وَأَومَضَ بارِقٌ
فَلَم أَدرِ مَن شَقَّ الحَنادِسَ مِنهُما
وَقالَت أَما يَكفيهِ أَنّي بِقَلبِهِ
يُشاهِدُني في كُلِّ وَقتٍ أَما أَما
"
3,محيي الدين بن عربي,أنجد الشوق وأتهم العزاء,"
أَنجَدَ الشَوقُ وَأَتهَمَ العَزاءُ
فَأَنا ما بَينَ نَجدٍ وَتِهام
وَهُما ضِدّانِ لَن يَجتَمِعا
فَشَتاتي ما لَهُ الدَهرَ نِظام
ما صَنيعي ما اِحتِيالي دُلَّني
يا عَذولي لا تَرُعني بِالمَلام
زَفَراتٌ قَد تَعالَت صُعَّداً
وَدُموعٌ فَوقَ خَدَّيَّ سِجام
حَنَّتِ العيسُ إِلى أَوطانِها
مِن وَجى السَيرِ حَنينَ المُستَهام
ما حَياتي بَعدَهُم إِلّا الفَنا
فَعَلَيها وَعَلى الصَبرِ سَلام
"
4,محيي الدين بن عربي,بان العزاء وبان الصبر إذ بانوا,"
بانَ العَزاءُ وَبانَ الصَبرُ إِذ بانوا
بانوا وُهُم في سُوَيدا القَلبِ سُكّانُ
سَأَلتُهُم عَن مَقيلِ الرَكبِ قيلَ لَنا
مَقيلُهُم حَيثُ فاحَ الشيحُ وَالبانُ
فَقُلتُ لِلريحِ سيري وَالحَقي بِهِمُ
فَإِنَّهُم عِندَ ظِلِّ الأَيكِ قُطّانُ
وَبَلِّغيهِم سَلاماً مِن أَخي شَجَنٍ
في قَلبِهِ مِن فِراقِ القَومِ أَشجانُ
"
5,محيي الدين بن عربي,وزاحمني عند استلامي أوانس,"
وَزاحَمَني عِندَ اِستِلامي أَوانِسٌ
أَتَينَ إِلى التَطوافِ مُعتَجِزاتِ
حَسَرنَ عَنِ أَنوارِ الشُموسِ وَقُلنَ لي
تَوَرَّع فَمَوتُ النَفسِ في اللَحظاتِ
وَكَم قَد قَتَلنا بِالمُحَصِّبِ مِن مِنىً
نُفوساً أَبِيّاتٍ لَدى الجَمَراتِ
وَفي سَرحَةِ الوادي وَأَعلامِ رامَةٍ
وَجَمعٍ وَعِندَ النَفرِ مِن عَرَفاتِ
أَلَم تَدرِ الحُسنَ يَسلُبُ مَن لُهُ
عَفافٌ فَيُدعى سالِبَ الحَسَناتِ
فَمَوعِدُنا بَعدَ الطَوافِ بِزَمزَمٍ
لَدى القُبَّةِ الوُسطى لَدى الصَخَراتِ
هُناكَ مَن قَد شَفَّهُ الوَجدُ يَشتَفي
بِما شاءَهُ مِن نِسوَةٍ عَطِراتِ
إِذا خِفنَ أَسدَلنَ الشُعورَ فَهُنَّ مِن
غَدائِرِها في أَلحُفِ الظُلُماتِ
"
6,محيي الدين بن عربي,درست ربوعهم وإن هواهم,"
دَرَسَت رُبوعُهُمُ وَإِنَّ هَواهُمُ
أَبَداً جَديدٌ بِالحَشا ما يَدرُسُ
هَذي طُلولُهُمُ وَهَذي الأَدمُعُ
وَلِذِكرِهِم أَبَداً تَذوبُ الأَنفُسُ
نادَيتُ خَلفَ رِكابِهِم مِن حُبِّهِم
يا مَن غِناهُ الحُسنُ ها أَنا مُفلِسُ
مَرَّغتُ خَدّي رِقَّةً وَصَبابَةً
فِبِحَقِّ حَقِّ هَواكُمُ لا تُؤيسوا
مَن ظَلَّ في عَبَراتِهِ غَرِقاً وَفي
نارِ الأَسى حَرِقاً وَلا يَتَنَفَّسُ
يا موقِدَ النارِ الرُوَيدا هذِهِ
نارُ الصَبابَةِ شَأنَكُم فَلتَقبِسوا
"
7,محيي الدين بن عربي,لمعت لنا بالأبرقين بروق,"
لَمَعَت لَنا بِالأَبرَقَينِ بُروقُ
قَصَفَت لَها بَينَ الضُلوعِ رُعودُ
وَهَمَت سَحائِبُها بِكُلِّ خَميلَةٍ
وَبِكُلِّ مَيّادٍ عَلَيكَ تَميدُ
فَجَرَت مَدامِعُها وَفاحَ نَسيمُها
وَهَفَت مُطَوَّقَةٌ وَأَورَقَ عودُ
نَصَبوا القِبابَ الحُمرَ بَينَ جَداوِلٍ
مِثلِ الأَساوِدِ بَينَهُنَّ قُعودُ
بيضٌ أَوانِسُ كَالشُموسِ طَوالِعٌ
عينٌ كَريماتٌ عَقائِلُ غيدُ
"
8,محيي الدين بن عربي,إني عجبت لصب من محاسنه,"
إِنّي عَجِبتُ لِصَبٍّ مِن مَحاسِنِهِ
تَختالُ ما بَينَ أَزهارٍ وَبُستانِ
فَقُلتُ لا تَعجِبي مِمَّن تَرَينَ فَقَد
أَبصَرتِ نَفسَكَ في مِرآةِ إِنسانِ
"
9,محيي الدين بن عربي,ألا يا حمامات الأراكة والبان,"
أَلا يا حَماماتِ الأَراكَةِ وَالبانِ
تَرَفَّقنَ لا تُضعِفنَ بِالشَجوِ أَشجاني
تَرَفَّقنَ لا تُظهِرنَ بِالنوحِ وَالبُكا
خَفِيَّ صَباباتي وَمَكنونَ أَحزاني
أُطارِحُها عِندَ الأَصيلِ وَبِالضُحى
بِحَنَّةِ مُشتاقٍ وَأَنَّةِ هَيمانِ
تَناوَحَتِ الأَرواحُ في غَيضَةِ الغَضا
فَمالَت بِأَفنانٍ عَلَيَّ فَأَفناني
وَجاءَت مِنَ الشَوقِ المُبَرِّحِ وَالجَوى
وَمِن طُرَفِ البَلوى إِلَيَّ بِأَفنانِ
فَمَن لي بِجَمعٍ وَالمُحَصَّبِ مِن مِنىً
وَمَن لي بِذاتِ الأُثلِ مَن لي بِنَعمانِ
تَطوفُ بِقَلبي ساعَةً بَعدَ ساعَةٍ
لِوَجدٍ وَتَبريحٍ وَتَلثُمُ أَركاني
كَما طافَ خَيرُ الرُسلِ بِالكَعبَةِ الَّتي
يَقولُ دَليلُ العَقلِ فها بِنُقصانِ
وَقَبَّلَ أَحجاراً بِها وَهُوَ ناطِقٌ
وَأَينَ مَقامُ البَيتِ مِن قَدرِ إِنسانِ
فَكَم عَهِدَت أَن لا تَحولَ وَأَقسَمَت
وَلَيسَ لِمَخضوبٍ وَفاءٌ بِأَيمانِ
وَمَن عَجَبِ الأَشياءِ ظَبيٌ مُبَرقَعٌ
يُشيرُ بِعُنّابٍ وَيَومي بِأَجفانِ
وَمَرعاهُ ما بَينَ التَرائِبِ وَالحَشا
وَيا عَجَباً مِن رَوضَةٍ وَسطَ نيرانِ
لَقَد صارَ قَلبي قابِلاً كُلَّ صورَةٍ
فَمَرعىً لِغِزلانٍ وَدَيرٌ لِرُهبانِ
وَبَيتٌ لِأَوثانٍ وَكَعبَةُ طائِفٍ
وَأَلواحُ تَوراةٍ وَمُصحَفُ قُرآنِ
أَدينُ بِدَينِ الحُبِّ أَنّي تَوَجَّهَت
رَكائِبُهُ فَالحُبُّ دَيني وَإيماني
لَنا أُسوَةٌ في بِشرِ هِندٍ وَأُختِها
وَقَيسٍ وَلَيلى ثُمَّ مَيٍّ وَغَيلانِ
"
