,poet_name,poem_name,poem_content
0,البحتري,قطعت أبا ليلى وما كنت قبله,"
قَطَعتُ أَبا لَيلى وَما كُنتُ قَبلَهُ
قَطوعاً وَلا مُستَقصِرُ الوُدِّ جافِيا
أَغُبُّ السَلامَ حينَ تَكثيرِ مَعشَرٍ
يَعُدّونَ تَكريرَ السَلامِ تَقاضِيا
وَحَسبي اِقتِضاءً أَن أُطيفَ بِواقِفٍ
عَلى خَلَّتي أَو عالِمٍ بِمَكانِيا
مَتى تَسأَلِ السِجزِيَّ عَن غَيبِ حاجَتي
يُبَيِّن لَكَ السِجزِيُّ ما كانَ خافِيا
فِداءٌ لَهُ مُستَبطَءُ النُجحِ أَخدَجَت
مَواعيدُهُ حَتّى رَجَعنَ أَمانِيا
"
1,البحتري,أأحمد هل لأعيننا اتصال,"
أَأَحمَدُ هَل لِأَعيُنِنا اِتِّصالٌ
بِوَجهٍ مِنكَ أَبيَضَ حارِثِيِّ
غَداتُكَ لِلخُمارِ إِذا غَدَونا
وَلَم يُطلَق لَنا أُنسُ العَشِيِّ
فَأَحسِن يافَتى كَعبٍ فَإِنّي
رَأَيتُ البُعدَ مِن فِعلِ المُسِيِّ
تَعَصَّب لِلقَريبِ أَبا وَوُدّاً
فَقَد يَجِبُ التَعَصُّبُ لِلكَنِيِّ
أَما وَالأَربَعينَ لَقَد أُريغَت
بِلا واني النُهوضِ وَلا وَطِيِّ
تَحَمَّل ثِقلَ مَطلَبِها كَريماً
عَنِ القَرمِ الكَريمِ أَبي عَلِيِّ
فَإِنَّ العودَ رُبَّتَما أُحيلَت
عِلاوَتُهُ عَلى الجَذعِ الفَتِيِّ
وَضَوءُ المُشتَري صِلَةٌ مُعانٌ
بِبَهجَتِها سَنا القَمَرِ المُضِيِّ
هُوَ الوَسمِيِّ جادَ فَكُن وَلِيّاً
فَما الوَسمِيُّ إِلّا بِالوَلِيِّ
"
2,البحتري,فدتك يدي من عاتب ولسانيا,"
فَدَتكَ يَدي مِن عاتِبٍ وَلِسانِيا
وَقَولِيَ في حُكمِ العُلا وَفَعالِيا
فَإِنَّ يَزيدَ وَالمُهَلَّبَ حَبَّبا
إِلَيكَالمَعالي إِذ أَحَبّا المَعالِيا
وَلَم يورِثاكَ القَولَ لا فِعلَ بَعدَهُ
وَما خَيرُ حَليِ السَيفِ إِن كانَ نابِيا
تَرى الناسَ فَوضى في السَماحِ وَلَن تَرى
فَتى القَومِ إِلّا الواهِبَ المُتَغاضِيا
وَإِنّي صَديقٌ غَيرَ أَن لَستُ واجِداً
لِفَضلِكَ فَضلاً أَو يَعُمَّ الأَعادِيا
وَلا مَجدَ إِلّا حينَ تُحسِنُ عائِداً
وَكُلُّ فَتىً في الناسِ يُحسِنُ بادِيا
وَما لَكَ عُذرٌ في تَأَخُّرِ حاجَتي
لَدَيكَ وَقَد أَرسَلتُ فيها القَوافِيا
حَرامٌ عَلَيَّ غَزوُ بَذٍّ وَأَهلِها
إِذا سِرتُ وَالعِشرونَ أَلفاً وَرائِيا
فَلا تُفسِدَن بِالمَطلِ مَنّاً تَمُنُّهُ
فَخَيرُ السَحابِ ما يَكونُ غَوادِيا
فَإِن يَكُ في المَجدِ اِشتِراءٌ فَإِنَّهُ اِش
تِراؤُكَ شُكري طولَ دَهري بِمالِيا
"
3,البحتري,وكان الشلمغان أبا ملوك,"
وَكانَ الشَلمَغانُ أَبا مُلوكٍ
فَصارَ أَباً لِسوقَةِ ما دَرايا
أَكُلُّ بَني دَساكِرِها بَنوهُ
لَأَوشَكَ أَن يَكونَ أَبا البَرايا
يُحَلِّأُنا عُقوقُ أَبي يَزيدٍ
عَنِ الصَهباءِ صافِيَةَ العَشايا
فَباتَ الخَسفُ مَنزِلَنا وَبِتنا
يُغَنّينا البَعوضُ بِجَرجَرايا
بَنو الأُطروشِ لَو حَضَروا لَكانوا
أَخَصَّ مَوَدَّةً وَأَعَمَّ رايا
أُناسٌ لا صَلاتُهُمُ لِماني
تُقامُ وَلا نَبِيُّهُمُ بنُ بايا
"
4,البحتري,باكرتنا بواكر الوسمي,"
باكَرَتنا بَواكِرُ الوَسمِيِّ
ثُمَّ راحَت وَأَقبَلَت بِالوَلِيِّ
وَأَرى الغَيثَ لَيسَ يَنفَكُّ يَهمي
في غَداةٍ مُخضَلَّةٍ وَعَشِيِّ
فَسَقى الأَرضَ رَيَّها مِن نَداهُ
فَاِسقِني مِن سُلافَةِ الراحِ رَيِّ
أَصبَحَت بَهجَةُ النَعيمِ وَأَمسَت
بَينَ قَصرِ الصَبيحِ وَالجَعفَرِيِّ
في البِناءِ العَجيبِ وَالمَنزِلِ الآ
نِسِ وَالمَنظَرِ الجَميلِ البَهِيِّ
وَرِياضٍ تَصبو النُفوسُ إِلَيها
وَتُحَيّا بِوَردِهِنَّ الجَنِيِّ
دارُ مُلكٍ مُختارَةٌ لِإِمامٍ
أَحرَزَت كَفُّهُ تُراثَ النَبِيِّ
وَهَبَ اللَهُ لِلرَعِيَّةِ مِنهُ
سيرَةَ الفاضِلِ النَقِيِّ الزَكِيِّ
فَهيَ مَحبُوَّةٌ بِإِحسانِهِ الضا
في عَلَيها وَحُكمِهِ المَرضِيِّ
يَإِمامَ الهُدى وَيا صاحِبَ الحَق
قِ وَيا اِبنَ الرَشيدِ وَالمَهدِيِّ
لِيَدُم دَهرُكَ المُحَبَّبُ في النا
سِ بِعُمرٍ باقٍ وَعَيشٍ رَضِيِّ
"
5,البحتري,إن الزمان زمان سو,"
إِنَّ الزَمانَ زَمانُ سَو
وَجَميعُ هَذا الخَلقِ بَو
وَإِذا سَأَلتَهُمُ نَدىً
فَجَوابُهُم عَن ذاكَ وَو
لَو يَملِكونَ الضَوءَ بُخ
لاً لَم يَكُن لِلخَلقِ ضَو
ذَهَبَ الكِرامُ بِأَسرِهِم
وَبَقى لَنا لَيتا وَلَو
"
6,البحتري,أما ترى العارض المنهل دانيه,"
أَما تَرى العارِضَ المُنهَلَّ دانيهِ
قَد طَبَّقَ الأَرضَ وَاِنحَلَّت عَزاليهِ
فَالريحُ تُزجيهِ تاراتٍ وَتَحدُرُهُ
وَالرَعدُ يُنجيهِ طَوراً أَو يُناجيهِ
يَبكي فَيَضحَكُ وَجهُ الأَرضِ عَن زَهَرٍ
كَالوَشيِ بَل لا تَرى وَشياً يُدانيهِ
مازالَ يَسكُبُ سَحّاً مُسبِلاً غَدَقاً
لا يَستَفيقُ وَلي عَينٌ تُباريهِ
سَحّاً بِسَحٍّ وَإِسبالاً بِمُسبَلَةٍ
دَمعٌ يَبوحُ بِشَجوٍ كُنتُ أُخفيهِ
ثُمَّ اِنجَلى وَدُموعي غَيرُ راقِأَةٍ
وَالقَلبُ فيهِ مِنَ الأَشجانِ ما فيهِ
شَوقاً إِلى رَشَإٍ لا الشَمسُ تُشبِهُهُ
وَلا الهِلالُ إِذا تَمَّت لَياليهِ
لَكِنَّهُ فِتنَةٌ في الأَرضِ عارِضَةٌ
يُبلي فُؤادي بِلا جُرمٍ وَيُضنيهِ
وَقَد تَبَيَّنَ أَنّي مُغرَمٌ كَلِفٌ
فَاِستَشعَرَ العُجبَ في ضَنٍّ وَفي تيهِ
"
7,البحتري,يا ابن من طاب في المواليد حرا,"
يا اِبنَ مَن طابَ في المَواليدِ حُرّاً
مِن بَني جَعفَرٍ إِلى اِبنِ أَبيهِ
أَنا بِالقُربِ مِنكَ عِندَ صَديقٍ
قَد أَلَحَّت عَليَةَ شُهبُ سِنيهِ
عِندَهُ قيتَةٌ إِذا ما تَغَنَّت
عادَ مِنّا الفَقيهُ غَيرَ فَقيهِ
تَزدَهيهِ وَأَينَ مِثلِيَ في الفَه
مِ تُغَنّيهِ ثُمَّ لا تَزدَهيهِ
مَجلِسٌ كَالرِياضِ حُسناً وَلَكِن
لَيسَ قُطبُ السُرورِ وَاللَهوِ فيهِ
فَأَغِثني بِما بِهِ يُشتَرى دُن
نُ عَجوزٍ خَمّارُهُ مُشتَريهِ
وَبِأَشياخِكَ الكِرامِ أَولي ال
أَفضالِ موسى اِبنِ جَعفَرٍ وَبَنيهِ
أَن تَخَّجمَتُهُ وَإِن كانَ إِلّا
مِثلَ ما يَأنَسُ الفَتى بِأَخيهِ
"
8,البحتري,غناؤك يورثك التزنيه,"
غِناؤُكَ يورِثُكَ التَزنِيَه
وَشَتماً وَطَرداً مِنَ الأَفنِيَه
وَفَقدُكَ أَجدَرُ مِن أَن تُبَرَّ
وَشَتمُكَ أَولى مِنَ التَكنِيَه
وَيَومُ وِلادِكِ لِلتَعزِياتِ
وَيَومُ وَفاتِكِ لِلتَهنِيَه
إِذا المَرءُ فيكَ نَوى سَيِّئاً
أُثيبَ عَلى حُسنِ تِلكَ النِيَه
"
9,البحتري,الحمد لله شكرا,"
الحَمدُ لِلَّهِ شُكراً
قُلوبُنا في يَدَيهِ
صارَ الأَميرُ شَفيعي
إِلى شَفيعي إِلَيهِ
"
10,البحتري,أترى هيثما يطيق ترضى,"
أَتَرى هَيثَماً يُطيقُ تَرضّى
حاجِبٍ جامِعٍ لَنا حاجِبَيهِ
أَم تَرى المَطلَ مُبقِياً لِيَ فَضلاً
مِن نَوالٍ أَنفَقتُ مِنهُ عَلَيهِ
لَستُ أَشكو إِلّا شَفيعي فَهَل لي
مِن شَفيعٍ إِلى شَفيعي إِلَيهِ
"
11,البحتري,سرى الغمام وغادتنا غواديه,"
سَرى الغَمامُ وَغادَتنا غَواديهِ
كَأَنَّهُ نائِلٌ بِتنا نُرَجّيهِ
حَكى نَدىً مِن أَبي العَبّاسِ يُشبِهُهُ
إِذا تَهَلَّلَ وَاِنتَلَّت عَزاليهِ
قَد أَلبَسَ اللَهُ عَبدَ اللَهِ أُبَّهَةً
مِن سَعيِ داوُدَ زادَت في مَساعيهِ
إِنَّ الخَراجَ بِقِنِّسرينَ يَجمَعُهُ
تَدبيرُ يَقظانَ يَدري كَيفَ يُحيِيهِ
أَعجَلَ بَعضاً بِضَربٍ مِن تَقَدُّمِهِ
وَاِقتادَ بَعضاً بِضَربٍ مِن تَأَتّيهِ
إِذا تَكَلَّمَ لَم يَدخُل صَريمَتَهُ
هَزلٌ وَلا كانَ غَيرَ الجِدِّ يَعنيهِ
لا يَنقُصُ الطَمَعُ الغالي عَزيمَتَهُ
وَلا سَبيلَ إِلى عَيبٍ يُدانيهِ
عُلُوُّ هِمَّتِهِ عَن ذاكَ يَرفَعُهُ
وَفَضلُ ثَروَتِهِ عَن ذاكَ يُغنيهِ
"
12,البحتري,أغفى ذراعيه وأنحى على,"
أَغفى ذِراعَيهِ وَأَنحى عَلى
لِحيَتِهِ بِالنَتفِ يُحفيها
يَمدَحُهُ القَومُ وَيَهجوهُم
ما شَكَرَ النِعمَةَ هاجيها
وَجَدتُ أَشعارَكَ في هَجوِهِم
تَقطَرُ مِن سَلحٍ قَوافيها
قائِلُها أَنتَ وَقَد أَفرَطَت
في نَتنِها أَم أَنتَ خاريها
"
